from_lat,from_lon,to_lat,to_lon,tftf_ms,dijkstra_ms,astar_ms,found_tftf,found_dijkstra,found_astar,tftf_routes,dijkstra_routes,astar_routes,,,,,,,,
8.48372,124.597,8.50338,124.602,126,53,50,1,1,1,1,1,1,,,,,,,,
8.47506,124.638,8.47236,124.639,116,45,46,1,1,1,2,1,1,,,,,,,,
8.49936,124.632,8.49187,124.633,110,45,46,1,1,1,1,2,2,,,,,,,,
8.38784,124.545,8.38739,124.546,122,45,46,1,1,1,1,1,1,,,,,,,,
8.40242,124.572,8.47635,124.629,143,85,69,1,1,1,2,4,4,,,,,,,,
8.42316,124.635,8.43429,124.619,109,46,46,1,1,1,2,1,1,,,,,,,,
8.4969,124.63,8.49957,124.632,118,45,45,1,1,1,2,1,1,,,,,,,,
8.48194,124.592,8.48088,124.63,126,77,76,1,1,1,2,5,4,,,,,,,,
8.4785,124.627,8.46819,124.588,132,174,78,1,1,1,2,1,1,,,,,,,,
8.47302,124.628,8.47046,124.643,116,65,55,1,1,1,1,2,1,,,,,,,,
8.47597,124.642,8.4831,124.638,106,54,48,1,1,1,1,2,3,,,,,,,,
8.47816,124.644,8.48778,124.627,111,117,73,1,1,1,1,2,1,,,,,,,,
8.42837,124.613,8.43444,124.619,127,47,47,1,1,1,1,1,1,,,,,,,,
8.48806,124.658,8.49185,124.633,108,69,51,1,1,1,1,2,2,,,,,,,,
8.47343,124.638,8.49442,124.637,104,133,94,1,1,1,2,3,3,,,,,,,,
8.49695,124.642,8.49755,124.642,108,45,44,1,1,1,2,1,1,,,,,,,,
8.48161,124.645,8.48674,124.647,113,47,46,1,1,1,2,1,1,,,,,,,,
8.47419,124.61,8.47496,124.623,127,56,58,1,1,1,1,2,2,,,,,,,,
8.29916,124.579,8.18351,124.533,108,63,55,1,1,1,2,1,1,,,,,,,,
8.46551,124.612,8.46823,124.609,102,45,46,1,1,1,2,1,1,,,,,,,,
8.47842,124.656,8.50188,124.647,108,96,52,1,1,1,1,1,1,,,,,,,,
8.48267,124.657,8.50417,124.612,108,162,65,1,1,1,2,2,3,,,,,,,,
8.49624,124.641,8.49911,124.637,108,45,45,1,1,1,2,1,1,,,,,,,,
8.47829,124.631,8.45337,124.624,171,163,96,1,1,1,2,2,2,,,,,,,,
8.49863,124.65,8.51277,124.628,109,64,48,1,1,1,2,1,1,,,,,,,,
8.49392,124.638,8.50061,124.636,100,46,44,1,1,1,2,1,1,,,,,,,,
8.47443,124.649,8.4784,124.627,130,93,58,1,1,1,2,1,1,,,,,,,,
8.47693,124.629,8.47344,124.608,166,99,69,1,1,1,2,1,1,,,,,,,,
8.48405,124.657,8.48831,124.642,108,53,48,1,1,1,2,1,1,,,,,,,,
8.46946,124.606,8.47423,124.61,124,46,46,1,1,1,1,1,1,,,,,,,,
